
+---------------------+--------------------+--------------------+
|         Time        |     Pressure       |    Temperature     |
+---------------------+--------------------+--------------------+
| 2010-01-04 07:00:19 |       1010.8       | 7.475432241239014  |
| 2010-01-04 07:01:53 | 1010.7529208973764 |  7.43058417947526  |
| 2010-01-04 07:04:37 |       1010.7       | 7.395286234841916  |
| 2010-01-04 07:06:29 |       1010.8       | 7.365288687420937  |
| 2010-01-04 07:08:37 |       1010.8       | 7.335290960010347  |
| 2010-01-04 07:10:04 |       1010.8       |        7.33        |
| 2010-01-04 07:12:03 |       1010.8       | 7.290560838492994  |
| 2010-01-04 07:13:33 |       1010.8       |  7.22629675174569  |
| 2010-01-04 07:15:18 |       1010.8       | 7.170476847412976  |
| 2010-01-04 07:17:16 |       1010.8       | 7.129999999999999  |
| 2010-01-04 07:20:41 |       1010.8       | 7.134720849472571  |
| 2010-01-04 07:22:13 |       1010.8       | 7.145280272057036  |
| 2010-01-04 07:23:29 |       1010.8       | 7.135293458853514  |
| 2010-01-04 07:25:19 |       1010.8       | 7.1105842582137955 |
| 2010-01-04 07:26:37 |       1010.7       |        7.08        |
| 2010-01-04 07:28:18 |       1010.7       | 7.060589026714946  |
| 2010-01-04 07:29:49 | 1010.6999999999999 |  7.0107515540508   |
| 2010-01-04 07:31:33 |       1010.7       | 6.921664187266433  |
| 2010-01-04 07:32:50 |       1010.7       | 6.846407502465217  |
| 2010-01-04 07:36:18 | 1010.7000000000002 | 6.638846481374356  |
| 2010-01-04 07:39:33 |       1010.7       | 6.118145961891276  |
| 2010-01-04 07:40:49 |       1010.7       | 5.9028625679956495 |
| 2010-01-04 07:42:25 |       1010.7       | 5.713420533014165  |
| 2010-01-04 07:43:42 |       1010.7       | 5.542309941000407  |
| 2010-01-04 07:44:59 |       1010.7       | 5.417077954357047  |
| 2010-01-04 07:46:24 |       1010.6       | 5.310584400177454  |
| 2010-01-04 07:48:06 |       1010.6       | 5.288289667834015  |
| 2010-01-04 07:49:48 |       1010.6       | 5.336268763489577  |
| 2010-01-04 07:51:49 | 1010.6000000000001 | 5.279144971697659  |
| 2010-01-04 07:54:02 |       1010.6       | 5.405872748298185  |
| 2010-01-04 07:55:44 |       1010.5       | 5.282508864365213  |
| 2010-01-04 07:57:01 |       1010.5       | 5.167512092036426  |
| 2010-01-04 07:58:17 |       1010.5       | 5.007044410119806  |
+---------------------+--------------------+--------------------+
